series_id                     	area_type_code	area_code	measure_code	seasonal	srd_code	series_title	footnote_codes	begin_year	begin_period	end_year	end_period
LASST040000000000008          	A	ST0400000000000	08	S	04	Labor Force Participation Rate: Arizona (S)		1976	M01	2023	M06
LASST050000000000003          	A	ST0500000000000	03	S	05	Unemployment Rate: Arkansas (S)		1976	M01	2023	M06
LASST050000000000004          	A	ST0500000000000	04	S	05	Unemployment: Arkansas (S)		1976	M01	2023	M06
LASST050000000000005          	A	ST0500000000000	05	S	05	Employment: Arkansas (S)		1976	M01	2023	M06
LASST050000000000006          	A	ST0500000000000	06	S	05	Labor Force: Arkansas (S)		1976	M01	2023	M06
LASST050000000000007          	A	ST0500000000000	07	S	05	Employment-Population Ratio: Arkansas (S)		1976	M01	2023	M06
LASST050000000000008          	A	ST0500000000000	08	S	05	Labor Force Participation Rate: Arkansas (S)		1976	M01	2023	M06
LASST060000000000003          	A	ST0600000000000	03	S	06	Unemployment Rate: California (S)		1976	M01	2023	M06
LASST060000000000004          	A	ST0600000000000	04	S	06	Unemployment: California (S)		1976	M01	2023	M06
LASST060000000000005          	A	ST0600000000000	05	S	06	Employment: California (S)		1976	M01	2023	M06
LASST060000000000006          	A	ST0600000000000	06	S	06	Labor Force: California (S)		1976	M01	2023	M06
LASST060000000000007          	A	ST0600000000000	07	S	06	Employment-Population Ratio: California (S)		1976	M01	2023	M06
LASST060000000000008          	A	ST0600000000000	08	S	06	Labor Force Participation Rate: California (S)		1976	M01	2023	M06
LASST080000000000003          	A	ST0800000000000	03	S	08	Unemployment Rate: Colorado (S)		1976	M01	2023	M06
LASST080000000000004          	A	ST0800000000000	04	S	08	Unemployment: Colorado (S)		1976	M01	2023	M06
LASST080000000000005          	A	ST0800000000000	05	S	08	Employment: Colorado (S)		1976	M01	2023	M06
LASST080000000000006          	A	ST0800000000000	06	S	08	Labor Force: Colorado (S)		1976	M01	2023	M06
LASST080000000000007          	A	ST0800000000000	07	S	08	Employment-Population Ratio: Colorado (S)		1976	M01	2023	M06
LASST080000000000008          	A	ST0800000000000	08	S	08	Labor Force Participation Rate: Colorado (S)		1976	M01	2023	M06
LASST090000000000003          	A	ST0900000000000	03	S	09	Unemployment Rate: Connecticut (S)		1976	M01	2023	M06
LASST090000000000004          	A	ST0900000000000	04	S	09	Unemployment: Connecticut (S)		1976	M01	2023	M06
LASST090000000000005          	A	ST0900000000000	05	S	09	Employment: Connecticut (S)		1976	M01	2023	M06
LASST090000000000006          	A	ST0900000000000	06	S	09	Labor Force: Connecticut (S)		1976	M01	2023	M06
LASST090000000000007          	A	ST0900000000000	07	S	09	Employment-Population Ratio: Connecticut (S)		1976	M01	2023	M06
LASST090000000000008          	A	ST0900000000000	08	S	09	Labor Force Participation Rate: Connecticut (S)		1976	M01	2023	M06
LASST100000000000003          	A	ST1000000000000	03	S	10	Unemployment Rate: Delaware (S)		1976	M01	2023	M06
LASST100000000000004          	A	ST1000000000000	04	S	10	Unemployment: Delaware (S)		1976	M01	2023	M06
LASST100000000000005          	A	ST1000000000000	05	S	10	Employment: Delaware (S)		1976	M01	2023	M06
LASST100000000000006          	A	ST1000000000000	06	S	10	Labor Force: Delaware (S)		1976	M01	2023	M06
LASST100000000000007          	A	ST1000000000000	07	S	10	Employment-Population Ratio: Delaware (S)		1976	M01	2023	M06
LASST100000000000008          	A	ST1000000000000	08	S	10	Labor Force Participation Rate: Delaware (S)		1976	M01	2023	M06
LASST110000000000003          	A	ST1100000000000	03	S	11	Unemployment Rate: District of Columbia (S)		1976	M01	2023	M06
LASST110000000000004          	A	ST1100000000000	04	S	11	Unemployment: District of Columbia (S)		1976	M01	2023	M06
LASST110000000000005          	A	ST1100000000000	05	S	11	Employment: District of Columbia (S)		1976	M01	2023	M06
LASST110000000000006          	A	ST1100000000000	06	S	11	Labor Force: District of Columbia (S)		1976	M01	2023	M06
LASST110000000000007          	A	ST1100000000000	07	S	11	Employment-Population Ratio: District of Columbia (S)		1976	M01	2023	M06
LASST110000000000008          	A	ST1100000000000	08	S	11	Labor Force Participation Rate: District of Columbia (S)		1976	M01	2023	M06
LASST120000000000003          	A	ST1200000000000	03	S	12	Unemployment Rate: Florida (S)		1976	M01	2023	M06
LASST120000000000004          	A	ST1200000000000	04	S	12	Unemployment: Florida (S)		1976	M01	2023	M06
LASST120000000000005          	A	ST1200000000000	05	S	12	Employment: Florida (S)		1976	M01	2023	M06
LASST120000000000006          	A	ST1200000000000	06	S	12	Labor Force: Florida (S)		1976	M01	2023	M06
LASST120000000000007          	A	ST1200000000000	07	S	12	Employment-Population Ratio: Florida (S)		1976	M01	2023	M06
LASST120000000000008          	A	ST1200000000000	08	S	12	Labor Force Participation Rate: Florida (S)		1976	M01	2023	M06
LASST130000000000003          	A	ST1300000000000	03	S	13	Unemployment Rate: Georgia (S)		1976	M01	2023	M06
LASST130000000000004          	A	ST1300000000000	04	S	13	Unemployment: Georgia (S)		1976	M01	2023	M06
LASST130000000000005          	A	ST1300000000000	05	S	13	Employment: Georgia (S)		1976	M01	2023	M06
LASST130000000000006          	A	ST1300000000000	06	S	13	Labor Force: Georgia (S)		1976	M01	2023	M06
LASST130000000000007          	A	ST1300000000000	07	S	13	Employment-Population Ratio: Georgia (S)		1976	M01	2023	M06
LASST130000000000008          	A	ST1300000000000	08	S	13	Labor Force Participation Rate: Georgia (S)		1976	M01	2023	M06
LASST150000000000003          	A	ST1500000000000	03	S	15	Unemployment Rate: Hawaii (S)		1976	M01	2023	M06
LASST150000000000004          	A	ST1500000000000	04	S	15	Unemployment: Hawaii (S)		1976	M01	2023	M06
LASST150000000000005          	A	ST1500000000000	05	S	15	Employment: Hawaii (S)		1976	M01	2023	M06
LASST150000000000006          	A	ST1500000000000	06	S	15	Labor Force: Hawaii (S)		1976	M01	2023	M06
LASST150000000000007          	A	ST1500000000000	07	S	15	Employment-Population Ratio: Hawaii (S)		1976	M01	2023	M06
LASST150000000000008          	A	ST1500000000000	08	S	15	Labor Force Participation Rate: Hawaii (S)		1976	M01	2023	M06
LASST160000000000003          	A	ST1600000000000	03	S	16	Unemployment Rate: Idaho (S)		1976	M01	2023	M06
LASST160000000000004          	A	ST1600000000000	04	S	16	Unemployment: Idaho (S)		1976	M01	2023	M06
LASST160000000000005          	A	ST1600000000000	05	S	16	Employment: Idaho (S)		1976	M01	2023	M06
LASST160000000000006          	A	ST1600000000000	06	S	16	Labor Force: Idaho (S)		1976	M01	2023	M06
LASST160000000000007          	A	ST1600000000000	07	S	16	Employment-Population Ratio: Idaho (S)		1976	M01	2023	M06
LASST160000000000008          	A	ST1600000000000	08	S	16	Labor Force Participation Rate: Idaho (S)		1976	M01	2023	M06
LASST170000000000003          	A	ST1700000000000	03	S	17	Unemployment Rate: Illinois (S)		1976	M01	2023	M06
LASST170000000000004          	A	ST1700000000000	04	S	17	Unemployment: Illinois (S)		1976	M01	2023	M06
LASST170000000000005          	A	ST1700000000000	05	S	17	Employment: Illinois (S)		1976	M01	2023	M06
LASST170000000000006          	A	ST1700000000000	06	S	17	Labor Force: Illinois (S)		1976	M01	2023	M06
LASST170000000000007          	A	ST1700000000000	07	S	17	Employment-Population Ratio: Illinois (S)		1976	M01	2023	M06
LASST170000000000008          	A	ST1700000000000	08	S	17	Labor Force Participation Rate: Illinois (S)		1976	M01	2023	M06
LASST180000000000003          	A	ST1800000000000	03	S	18	Unemployment Rate: Indiana (S)		1976	M01	2023	M06
LASST180000000000004          	A	ST1800000000000	04	S	18	Unemployment: Indiana (S)		1976	M01	2023	M06
LASST180000000000005          	A	ST1800000000000	05	S	18	Employment: Indiana (S)		1976	M01	2023	M06
LASST180000000000006          	A	ST1800000000000	06	S	18	Labor Force: Indiana (S)		1976	M01	2023	M06
LASST180000000000007          	A	ST1800000000000	07	S	18	Employment-Population Ratio: Indiana (S)		1976	M01	2023	M06
LASST180000000000008          	A	ST1800000000000	08	S	18	Labor Force Participation Rate: Indiana (S)		1976	M01	2023	M06
LASST190000000000003          	A	ST1900000000000	03	S	19	Unemployment Rate: Iowa (S)		1976	M01	2023	M06
LASST190000000000004          	A	ST1900000000000	04	S	19	Unemployment: Iowa (S)		1976	M01	2023	M06
LASST190000000000005          	A	ST1900000000000	05	S	19	Employment: Iowa (S)		1976	M01	2023	M06
LASST190000000000006          	A	ST1900000000000	06	S	19	Labor Force: Iowa (S)		1976	M01	2023	M06
LASST190000000000007          	A	ST1900000000000	07	S	19	Employment-Population Ratio: Iowa (S)		1976	M01	2023	M06
LASST190000000000008          	A	ST1900000000000	08	S	19	Labor Force Participation Rate: Iowa (S)		1976	M01	2023	M06
LASST200000000000003          	A	ST2000000000000	03	S	20	Unemployment Rate: Kansas (S)		1976	M01	2023	M06
LASST200000000000004          	A	ST2000000000000	04	S	20	Unemployment: Kansas (S)		1976	M01	2023	M06
LASST200000000000005          	A	ST2000000000000	05	S	20	Employment: Kansas (S)		1976	M01	2023	M06
LASST200000000000006          	A	ST2000000000000	06	S	20	Labor Force: Kansas (S)		1976	M01	2023	M06
LASST200000000000007          	A	ST2000000000000	07	S	20	Employment-Population Ratio: Kansas (S)		1976	M01	2023	M06
LASST200000000000008          	A	ST2000000000000	08	S	20	Labor Force Participation Rate: Kansas (S)		1976	M01	2023	M06
LASST210000000000003          	A	ST2100000000000	03	S	21	Unemployment Rate: Kentucky (S)		1976	M01	2023	M06
LASST210000000000004          	A	ST2100000000000	04	S	21	Unemployment: Kentucky (S)		1976	M01	2023	M06
LASST210000000000005          	A	ST2100000000000	05	S	21	Employment: Kentucky (S)		1976	M01	2023	M06
LASST210000000000006          	A	ST2100000000000	06	S	21	Labor Force: Kentucky (S)		1976	M01	2023	M06
LASST210000000000007          	A	ST2100000000000	07	S	21	Employment-Population Ratio: Kentucky (S)		1976	M01	2023	M06
LASST210000000000008          	A	ST2100000000000	08	S	21	Labor Force Participation Rate: Kentucky (S)		1976	M01	2023	M06
LASST220000000000003          	A	ST2200000000000	03	S	22	Unemployment Rate: Louisiana (S)		1976	M01	2023	M06
LASST220000000000004          	A	ST2200000000000	04	S	22	Unemployment: Louisiana (S)		1976	M01	2023	M06
LASST220000000000005          	A	ST2200000000000	05	S	22	Employment: Louisiana (S)		1976	M01	2023	M06
LASST220000000000006          	A	ST2200000000000	06	S	22	Labor Force: Louisiana (S)		1976	M01	2023	M06
LASST220000000000007          	A	ST2200000000000	07	S	22	Employment-Population Ratio: Louisiana (S)		1976	M01	2023	M06
LASST220000000000008          	A	ST2200000000000	08	S	22	Labor Force Participation Rate: Louisiana (S)		1976	M01	2023	M06
LASST230000000000003          	A	ST2300000000000	03	S	23	Unemployment Rate: Maine (S)		1976	M01	2023	M06
LASST230000000000004          	A	ST2300000000000	04	S	23	Unemployment: Maine (S)		1976	M01	2023	M06
LASST230000000000005          	A	ST2300000000000	05	S	23	Employment: Maine (S)		1976	M01	2023	M06
LASST230000000000006          	A	ST2300000000000	06	S	23	Labor Force: Maine (S)		1976	M01	2023	M06
LASST230000000000007          	A	ST2300000000000	07	S	23	Employment-Population Ratio: Maine (S)		1976	M01	2023	M06
LASST230000000000008          	A	ST2300000000000	08	S	23	Labor Force Participation Rate: Maine (S)		1976	M01	2023	M06
LASST240000000000003          	A	ST2400000000000	03	S	24	Unemployment Rate: Maryland (S)		1976	M01	2023	M06
LASST240000000000004          	A	ST2400000000000	04	S	24	Unemployment: Maryland (S)		1976	M01	2023	M06
LASST240000000000005          	A	ST2400000000000	05	S	24	Employment: Maryland (S)		1976	M01	2023	M06
